[INFO ] 2022-01-08 17:45:39,072 Listeners.onTestSuccess() - suceffuly passed testcase: validateHomePageTitleTestin method: validateHomePageTitleTest
[INFO ] 2022-01-08 17:45:51,593 Listeners.onTestSuccess() - suceffuly passed testcase: validateUserNameTestin method: validateUserNameTest
[INFO ] 2022-01-08 17:46:07,036 Listeners.onTestSuccess() - suceffuly passed testcase: clickOnContanctsTestin method: clickOnContanctsTest
[INFO ] 2022-01-08 17:46:12,550 LoginPageTest.setUp() - driver invoked and launched browser succefully
[INFO ] 2022-01-08 17:46:12,558 LoginPageTest.loginPageTitleTest() - sucessfully validated the title
[INFO ] 2022-01-08 17:46:12,559 Listeners.onTestSuccess() - suceffuly passed testcase: loginPageTitleTestin method: loginPageTitleTest
[INFO ] 2022-01-08 17:46:16,862 LoginPageTest.setUp() - driver invoked and launched browser succefully
[INFO ] 2022-01-08 17:46:27,953 Listeners.onTestSuccess() - suceffuly passed testcase: LoginTestin method: LoginTest
[INFO ] 2022-01-08 17:46:44,162 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[INFO ] 2022-01-08 17:46:58,312 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[ERROR] 2022-01-08 17:47:18,462 Listeners.onTestFailure() -  failed testcase: createnewContactTest
[INFO ] 2022-01-08 17:47:32,330 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[ERROR] 2022-01-08 17:47:59,077 Listeners.onTestFailure() -  failed testcase: selectContactTest
