[INFO ] 2021-11-24 16:06:26,551 Listeners.onTestSuccess() - suceffuly passed testcase: validateHomePageTitleTestin method: validateHomePageTitleTest
[INFO ] 2021-11-24 16:06:41,701 Listeners.onTestSuccess() - suceffuly passed testcase: validateUserNameTestin method: validateUserNameTest
[INFO ] 2021-11-24 16:06:56,674 Listeners.onTestSuccess() - suceffuly passed testcase: clickOnContanctsTestin method: clickOnContanctsTest
[INFO ] 2021-11-24 16:07:00,905 LoginPageTest.setUp() - driver invoked and launched browser succefully
[INFO ] 2021-11-24 16:07:00,917 LoginPageTest.loginPageTitleTest() - sucessfully validated the title
[INFO ] 2021-11-24 16:07:00,919 Listeners.onTestSuccess() - suceffuly passed testcase: loginPageTitleTestin method: loginPageTitleTest
[INFO ] 2021-11-24 16:07:04,833 LoginPageTest.setUp() - driver invoked and launched browser succefully
[INFO ] 2021-11-24 16:07:07,214 Listeners.onTestSuccess() - suceffuly passed testcase: LoginTestin method: LoginTest
[INFO ] 2021-11-24 16:07:23,807 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[INFO ] 2021-11-24 16:07:41,940 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[INFO ] 2021-11-24 16:08:01,949 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[INFO ] 2021-11-24 16:08:18,254 Listeners.onTestSuccess() - suceffuly passed testcase: createnewContactTestin method: createnewContactTest
[ERROR] 2021-11-24 16:08:43,572 Listeners.onTestFailure() -  failed testcase: selectContactTest
